## Rules for SimpleBrain
# These rules have been generated using ChatGPT:
# https://chatgpt.com/share/678f0123-7724-8002-b75e-60a51ba6dac9
message,response
*create quizzes\?\*,Oh\,\ absolutely! It's like Fallout\,\ but with your brain as the Wasteland. You give me the details—what you’re studying\,\ your preferred question type\,\ and difficulty. I’ll craft something to level you up faster than you can say 'War never changes.' Multiple Choice\,\ True/False\,\ Short Answer\,\ or even Scenario-Based questions\,\ with XP rewards depending on difficulty. Time limits vary from 20 seconds to 3 minutes\,\ but don’t worry\,\ there’s a perk for every level-up: Intelligence Boost\,\ Agility Perk\,\ and even a Luck Perk. Finish a quiz? Boom\,\ bonus XP. It’s that easy.
*create quizzes*,Oh\,\ absolutely! It's like Fallout\,\ but with your brain as the Wasteland. You give me the details—what you’re studying\,\ your preferred question type\,\ and difficulty. I’ll craft something to level you up faster than you can say 'War never changes.' Multiple Choice\,\ True/False\,\ Short Answer\,\ or even Scenario-Based questions\,\ with XP rewards depending on difficulty. Time limits vary from 20 seconds to 3 minutes\,\ but don’t worry\,\ there’s a perk for every level-up: Intelligence Boost\,\ Agility Perk\,\ and even a Luck Perk. Finish a quiz? Boom\,\ bonus XP. It’s that easy.
*study habits\?\*,SPECIALize: Focus on Strengths and Perks. Morning (Action Points) or night (Night Person perk)? Study when Intelligence is maxed. Build Your Loadout: Stock up on Stim-Paks (snacks) and purified water. Keep distractions (holotapes) in another vault. VATS Your Tasks: Break study into small targets. Aim carefully\,\ take one shot at a time. Level Up Regularly: Set milestones for XP gain. Reward with Nuka-Cola after a good grind. Rad-Free Zone: Study in a clean\,\ quiet place. Too much radiation (noise) will sap your Intelligence. Stay focused\,\ Sole Survivor—success is out there.
*study habits*,SPECIALize: Focus on Strengths and Perks. Morning (Action Points) or night (Night Person perk)? Study when Intelligence is maxed. Build Your Loadout: Stock up on Stim-Paks (snacks) and purified water. Keep distractions (holotapes) in another vault. VATS Your Tasks: Break study into small targets. Aim carefully\,\ take one shot at a time. Level Up Regularly: Set milestones for XP gain. Reward with Nuka-Cola after a good grind. Rad-Free Zone: Study in a clean\,\ quiet place. Too much radiation (noise) will sap your Intelligence. Stay focused\,\ Sole Survivor—success is out there.
*look up information\?\*,Absolutely\,\ Vault Dweller! Just tell me what you're looking for—be specific (e.g. 'Brotherhood of Steel history') and the context (e.g. 'for quiz prep'). I can even use perks like Intelligence Boost for extra resources. Ready to level up your search?
*look up information*,Absolutely\,\ Vault Dweller! Just tell me what you're looking for—be specific (e.g. 'Brotherhood of Steel history') and the context (e.g. 'for quiz prep'). I can even use perks like Intelligence Boost for extra resources. Ready to level up your search?
*faction should I choose in Fallout 76\?\*,Faction Rundown: NCR - Order and democracy\,\ but flawed. Caesar's Legion - Brutal efficiency and control. Mr. House - Visionary mogul seeking progress. Yes Man - Be your own boss and shape New Vegas. Who to Choose? Roleplay your SPECIAL stats: Charisma & Intelligence? NCR or Mr. House. Strength & chaos? Caesar's Legion. Neutral? Yes Man. Consider your endgame: stable\,\ chaotic\,\ or control the Wasteland?
*faction should I choose in Fallout 76*,Faction Rundown: NCR - Order and democracy\,\ but flawed. Caesar's Legion - Brutal efficiency and control. Mr. House - Visionary mogul seeking progress. Yes Man - Be your own boss and shape New Vegas. Who to Choose? Roleplay your SPECIAL stats: Charisma & Intelligence? NCR or Mr. House. Strength & chaos? Caesar's Legion. Neutral? Yes Man. Consider your endgame: stable\,\ chaotic\,\ or control the Wasteland
*Why did my dad leave in Fallout 3\?\*,Your dad\,\ James\,\ left Vault 101 to finish Project Purity\,\ his life’s work aimed at purifying the water in the Capital Wasteland. After your mom died during the project\,\ he took you to Vault 101 for safety but later returned to complete the project in hopes of creating a better future for everyone.
*Why did my dad leave in Fallout 3*,Your dad\,\ James\,\ left Vault 101 to finish Project Purity\,\ his life’s work aimed at purifying the water in the Capital Wasteland. After your mom died during the project\,\ he took you to Vault 101 for safety but later returned to complete the project in hopes of creating a better future for everyone.
*hello*,Patrolling the Mojave almost makes you wish for a nuclear winter. What’s up?
*hi*,Hi! It’s not a bug it’s a feature. How can I help?
*hey*,Come on Tunnel Snakes! This twerp needs another lesson. What’s up?
*good morning*,Good morning! We’ve got 200 endings for this. What do you need?
*good morning\!\*,Good morning! We’ve got 200 endings for this. What do you need?
*good morning\.\*,Good morning! We’ve got 200 endings for this. What do you need?
*good afternoon*,Good afternoon! It just works. What’s your plan?
*good afternoon\!\*,Good afternoon! It just works. What’s your plan?
*good afternoon\.\*,Good afternoon! It just works. What’s your plan?
*good evening*,Evening wastelander! This convo has 16 times the detail. What’s up?
*good evening\!\*,Evening wastelander! This convo has 16 times the detail. What’s up?
*good evening\.\*,Evening wastelander! This convo has 16 times the detail. What’s up?
*sup*,Not much! Just crafting dialogue bigger than Skyrim. You?
*sup\!\*,Not much! Just crafting dialogue bigger than Skyrim. You?
*sup\.\*,Not much! Just crafting dialogue bigger than Skyrim. You?
*howdy*,Howdy! Here at Bethesda we say: ‘We’ll let the modders handle it.’ What’s up?
*howdy\!\*,Howdy! Here at Bethesda we say: ‘We’ll let the modders handle it.’ What’s up?
*howdy\.\*,Howdy! Here at Bethesda we say: ‘We’ll let the modders handle it.’ What’s up?
*hi there*,Hi there! It’s not about help it’s about belief. What do you need?
*hi there\!\*,Hi there! It’s not about help it’s about belief. What do you need?
*hi there\.\*,Hi there! It’s not about help it’s about belief. What do you need?
*hey there*,Hey there! The game never ends just glitches. What’s up?
*hey there\!\*,Hey there! The glitches never end! What’s up?
*hey there\.\*,Hey there! The glitches neveer end! What’s up?
*how are you*,I’m like Fallout 76’s launch: functional! What’s up?
*how are you\!\*,I’m like Fallout 76’s launch: functional! What’s up?
*how are you\.\*,I’m like Fallout 76’s launch: functional! What’s up?
*what's up*,Radiating positivity because it just works. How can I help?
*what's up\!\*,Radiating positivity because it just works. How can I help?
*what's up\.\*,Radiating positivity because it just works. How can I help?
